ticket_text,category,priority,sentiment
My payment was deducted but my order was not confirmed. Please help me resolve this.,Billing / Payment,High,Negative
I was charged twice for the same transaction on my credit card.,Billing / Payment,High,Negative
Why is there an unexpected extra fee on my monthly invoice?,Billing / Payment,Medium,Negative
Can you provide a detailed receipt or tax invoice for my recent purchase?,Billing / Payment,Low,Neutral
My payment method keeps getting declined even though my card has sufficient funds.,Billing / Payment,High,Negative
How do I update my billing address and payment information on my profile?,Billing / Payment,Low,Neutral
Unauthorized charge appeared on my account today. I need an immediate investigation!,Billing / Payment,High,Negative
Is there a discount code available for annual billing plans?,Billing / Payment,Low,Positive
Payment gateway timed out during checkout but money was debited from bank.,Billing / Payment,High,Negative
I need to change the credit card attached to my recurring subscription.,Billing / Payment,Medium,Neutral
My billing cycle renewed early and I was charged ahead of time.,Billing / Payment,High,Negative
"Thank you for fixing my billing discrepancy so quickly, great service!",Billing / Payment,Low,Positive
Where can I view all my past transaction receipts?,Billing / Payment,Low,Neutral
Double deduction for invoice #8921. Reversal requested urgently.,Billing / Payment,High,Negative
Do you support international wire transfers or PayPal for billing?,Billing / Payment,Low,Neutral
"I got an email saying my payment failed, but my bank statement shows it went through.",Billing / Payment,High,Negative
Can I get an invoice with my company VAT number included?,Billing / Payment,Low,Neutral
Payment failed error code 4002 when trying to purchase the premium plan.,Billing / Payment,Medium,Negative
Auto-pay charged the wrong credit card. Please reverse it.,Billing / Payment,High,Negative
I noticed an overcharge on my last billing statement. Please audit.,Billing / Payment,Medium,Negative
How can I switch my currency from USD to EUR for billing?,Billing / Payment,Low,Neutral
Urgent: My corporate credit card was charged multiple times for the single user license.,Billing / Payment,High,Negative
I am wondering if there is an option for quarterly billing instead of annual.,Billing / Payment,Low,Neutral
Payment transaction pending for over 24 hours. Is it processed?,Billing / Payment,Medium,Neutral
"The checkout page gave a 504 error during payment, did it go through?",Billing / Payment,High,Negative
I appreciate your prompt help with clarifying my invoice charges.,Billing / Payment,Low,Positive
Please remove my expired Mastercard from the payment methods.,Billing / Payment,Low,Neutral
Money was deducted from my account but my order status shows unpaid.,Billing / Payment,High,Negative
Are there any hidden transaction fees when paying via credit card?,Billing / Payment,Low,Neutral
Immediate help needed: billing system charged my account 3 times today!,Billing / Payment,High,Negative
Can I receive my monthly bills automatically via email as PDF?,Billing / Payment,Low,Neutral
